MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
202,84,BROADW_EDWDCY_EZLBTH,Broadway,Edward St,Elizabeth St,Northbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,4110,4019,238,361,11,50,45.18,4.336,COP,115.8145065,-31.9820939,12892413.0914,-3760958.6403
203,85,BROADW_EDWDCY_EZLBTH,Broadway,Edward St,Elizabeth St,Southbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3365,3242,214,337,3.7,50,39.24,0.176,COP,115.8145065,-31.9820939,12892413.0914,-3760958.6403
204,45,BROADW_ELZBTH_CAPORN,Broadway,Llizabeth street,Caporn street,Southbound,11/21/2023 12:00:00 AM,11/28/2023 12:00:00 AM,2023,3567,3467,263,369,0.4,50,40.368,0.808,COP,115.8145135,-31.9840056,12892413.8706,-3761209.5341
205,44,BROADW_ELZBTH_CAPORN,Broadway,Llizabeth street,Caporn street,Northbound,11/21/2023 12:00:00 AM,11/28/2023 12:00:00 AM,2023,3295,3319,225,254,0.6,50,39.78,0.602,COP,115.8145136,-31.9840056,12892413.8818,-3761209.5341
206,45,MONASH_KANBLA_HAMPDN,Monash Ave,Kanimbla Rd,Hampden Rd,East,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,5623,4860,371,516,0.1141,50,48.8,0.114,Pantagon,115.814644,-31.970513,12892428.3948,-3759438.858
207,46,MONASH_KANBLA_HAMPDN,Monash Ave,Kanimbla Rd,Hampden Rd,West,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,5178,4473,519,396,0.101,50,46.6,0.065,Pantagon,115.814687,-31.970481,12892433.1814,-3759434.6589
208,22,PCS_BDW_TAV_94,Princess Road,Broadway,The Avenue,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,1849,1725,232,171,6.7,50,41.76,0.506,COP,115.8150239,-31.9864049,12892470.6877,-3761524.4283
209,23,PCS_BDW_TAV_95,Princess Road,Broadway,The Avenue,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,1557,1492,112,169,12,50,42.12,1.114,COP,115.8150239,-31.9864049,12892470.6877,-3761524.4283
210,86,PRINSS_BROADW_THEAVE,Princess Road,Broadway,The Avenue,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,1849,1725,232,171,6.7,50,41.76,0.506,COP,115.8150239,-31.9864049,12892470.6877,-3761524.4283
211,87,PRINSS_BROADW_THEAVE,Princess Road,Broadway,The Avenue,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,1557,1492,112,169,12,50,42.12,1.114,COP,115.8150239,-31.9864049,12892470.6877,-3761524.4283
212,2,ANTSLN_KARELA_PARKRD,Antares Lane,Karella Street,Park Road,Southbound/Northbound,2/20/2023 12:00:00 AM,2/27/2023 12:00:00 AM,2023,17,16,2,2,0,50,19.62,0,COP,115.8150845,-31.9742279,12892477.4321,-3759926.3502
